	Author	Ratings	Title	Description
1704	BD19	4	Great product	Easy to use! The installation is quick and easy going! Great if you have google home. Loading doesn’t take long either and the streaming is clear.
1705	Babaloo	5	Great Product	Its a great product for the price, its easy to use.
1706	Laptop	5	Good deal	I love this product is great is perfect for my family.
1707	ignaciomorales87	3	previous version seemed better	I have experiencied what seem to be memory problems with this devide, which hangs and gets restarted automatically....never happened with the previous version, which I also have. I was expecting better
1708	ALLA	5	it works	much faster than the first generation, but considering new offers from Roku and Amazon, this is definitely overpriced if you buy it at regular retail price.
1709	acctinatl	5	LOVE CASTING	The chromecast is a a great tool for casting. I also like that it integrates very well with Google Home.
1710	Chandra	5	Love playing from anywhere	It's a perfect thing to have on a projector. No wire to connect simple and easy with chrome to play whatever u like to play on the big screen.
1711	Jackwl	5	Great product for the price.	Works just as good as the Apple TV for streaming for only one third of the cost.
1712	Daaronclar	4	Great for not having cable	Got this so I could watch tv after I cancelled my cable. I'm very happy with the performance the streaming is smooth and I get all of the channels that I normally watched on cable. My house is next to a large hill that made antenna usage sluggish and in some cases unavailable. Now I get a nice picture using my wifi.
1713	aztraveling	1	Wouldn't connect to wifi	At a distance of 15 feet with 1 wall in the way it would not connect to wifi. At 3 feet it would connect through the same wall. To bad that wasnt where i was gonna use it, where it did connect. Returned.
1714	Mateo	4	Worth The Price	I bought this for my parents because the Apple TV was getting way to complicated to use and search for content. This is much easier to use and at a fraction of the cost.
1715	NeilBeats	5	Exceeds My expectations	This device has literally changed my life. I needed a device to screen cast all my devices and this is the best option. I am surprised it doesn't cost more.
1716	Rich	5	Such a useful item	Chrome cast is a great addition to making your home more device friendly. Easy to use.
1717	Perfecto	4	Good Gadget to have	It's very interesting now watching stuff on my TV for things that I normally watch on my computer. It;s much easier for my to see it with my fading eye sight
1718	Shaamim	5	Great	Stream music in every room of the house with Google Chromecast. Access over 100 apps to listen to your favorites anytime. Plus, you can use your smartphone as a remote to play, pause, or adjust the volume. And texts or calls won't interrupt the music.
1719	Themechanic06	5	Family entertainment	It's good to have one of these for family getaways.
1720	CablingNY	5	Recommended	Most recommended and useful gadget for everybody. I personally use it for tv.youtube.com what help me cut cable and enjoy all popular live tv channels.
1721	2013Salem	5	Great.	Allows me to watch YouTube on my tv. Glad to find it.
1722	Aimee	5	Totally amazed	We love being able to view our computer, lap top, phones and tablets on our big screen!
1723	JerryW	1	Can't even connect with Google Pixel 2 phone!	I have tried multiple such dongles with mixed results, none satisfying. So I take the final step to buy this Chromecast and pair it with a Pixel 2 phone. Both of the latest version. The setup works for Youtube, but can't do screen mirroring at all. It simply won't connect. I spent hours checking Google and online discussions, checked all settings, reset, reboot everything, nothing works. It's amazing how Google could do such thing! I'm wordless when my wife was laughing at me with her iPhone and Apple TV. Guess I will have no choice but to join the Apple eco system. Google has itself to blame to lose me, a long time android user. Someone will think I'm just incompetent in technology. All I can say is I`ve been writing codes before Google exists. This is a product flaw, period. You may get lucky, but make sure you can return your Google phone before you buy it. I'm only able to return the Chromecast. Sad.
1724	anna	5	Chromecast	Very easy to use. Can use your phone or the laptop
1725	gabinator	4	Easy to setup and use!	This is my 2nd Chromecast. I have a first gen model and this one was just as easy to set up and use as the first one. Highly recommended for streaming from Netflix or your laptop computer!
1726	MAC23Texans08G	3	Great external device for TV	This is great for casting items to the TV and mirroring items.
1727	RoboteGigante	5	Love my Chromecast	This has become the focal point when we’re home watching and listening to music videos with family. We actually fight over who gets to cast the next video :)
1728	TXKK626	1	Pointless	Fairly pointless if you have something else to stream through, like a smart TV, gaming unit, or Apple TV. Lack of user interface really decreases usability. It's mostly just a device to stream to your TV from a smart phone.
1729	BigOil	5	Easy to set up	This product is easy to set up and works flawlessly with other products.
1730	Nikki	5	chromecast streaming device	This device works so wonderful, and I just love it more everyday!
1731	pinky	5	very good	Nice device I love it.......................................................
1732	Chavis4life	5	Three's a charm	I purchased the Google home, google home mini and the chrome cast for my other half for Christmas and he loves all three. They are the perfect combination. With the chrome cast he can stream his shows and watch so many more. Worth every penny.
1733	Techgadlover	5	Reliable	Works perfect with no problems at all, really nice
1734	slimphast	2	Nice	Got what I needed and when I needed it at best buy
1735	TINY	5	GREAT FOR FAST TV WITH NETFLIX	USE IT TO WORK MY NETFLIX AND YOUTUBE ETC. AND ANSWERS TO MY QUESTIONS OF INFORMATION WITH MY GOOGLE HOME MINI
1736	GoogleUser	5	Works as expected.	I have used Google Chrome Cast devices for several years. The product works nicely. I bought this one as a replacement for an older one I broke.
1737	2cutekids	5	Great product	My family enjoy it because they could cast movies or cartons on to the tv
1738	JMonteiro	5	Easy to use	This is even better then my smart TV. It was easy to install and learn to use
1739	cjlarum	5	2nd one	we have one already, needed a 2nd one for the bedroom. does exactly what it should!
1740	Piepie59610	5	Works perfectly. No personal issues.	Very quick setup and very fast. Connects easily. Extremely efficient.
1741	Tinner	2	Returned item	Seemed to spend as much time buffering as it did properly casting a movie. Not sure if it was the units fault or my signal.
1742	mikee	3	it has some problems	can't get the audio to sync with the video. sound is sometimes 20-30 seconds behind the video. got a new newgear router, better, but not correct.
1743	Lovereviews	5	Excellent	Works great with Hulu Live TV and YouTube TVamd HBO
1744	wire	5	Awesome	Spread it works great for streaming anything from your phone walked right out of the box and no problems.
1745	DDubb	5	Chromecast is best for streaming movies & Music	This model of Chromecast is even better than the first one. It's great for binge watching on Netflix, and it offers many other streaming capabilities also. This product is worth the money you pay for it and more.
1746	GoProGuy	5	Very Easy to Use	I love this because it’s so easy to use. Not too many clicks involved with screen sharing.
1747	audionut	5	My 2nd chromecast	Works great - just make sure you have a strong wifi connection nearby so to make reliable casts.
1748	Cdojahn	5	Good	Great product, we do not have wifi so this did way more then we need. Ended up returning for the apple fire hdmi cord
1749	Kbear	4	Sadly no amazon	I wish i could cast my amazon. But i like that i am able to link my google home with it to control it. and no need for a remote either use a phone or voice which is nice.
1750	Paulo	5	Excellent product	Extremely easy to install and very self explanatory. Works great with tablets, iPhone and iPad.
1751	Frankie	5	Chromecast is an easy way to view Youtube on my TV	I like using my chromcast for viewing YouTube videos, and Netflix from my iPad, cellphone, or laptop by using my Bluetooth and WiFi together... it’s easy.
1752	Larry	5	Get away from cable	Great alternative to paying for cable and works with Google Home Mini. Talk to your TV and it listens.
1753	Wvgumdoc	5	Great cord cutter product	Recently cut the cord with Comcast TV service. This is a great, inexpensive, reliable product to allow you to stream content to your TV. Works flawlessly with DirecTv Now, and has some functionality with Google Home products.
1754	Shehab	5	Best seller	It’s the best thing if you use an LCD or LED, you all know how it goes but before going to buy it make sure you have the subscriptions to different apps.
1755	Ejp83	5	Everything in one spot	This is my favorite casting device. I love that I can cast anything on my phone to my TV.
1756	Tdtown	5	Have one on all my tv's	Chromecast is inexpensive and simple media stream device I har added to all my televisions
1757	Akll	4	Super easy set up	This thing is foolproof. Take it out of the box, hook it up to TV, and follow instructions to have it connect to home Wi-Fi. That's it. Only trouble is with Amazon prime, still figuring out a workaround.
1758	DaveA410	4	Works, easy, kinda cool	Plugged it into my 4K tv. Picture is great, easy to setup add my spotify, Netflix etc. Able to communicate with my Google mini. Just made my smart TV smarter
1759	Rick	5	google devices	I have been happy with this item...google really puts out great products.
1760	partsguy	5	So easy	I started using you tube tv and I tried using an apple tv but it was a real pain in the neck. I picked up one of these and it is the easiest way to stream any content onto a tv. Very happy.
1761	Dang69	5	Works perfectly	Never have issues with it, runs well, does what it needs to on the cheap.
1762	Sciencerockgirl	5	Helpful device	It is great to be able to project images larger onto the tv screen.
1763	Mill	5	Great Chromecast	I had to learn how to set up the Chromecast. It was pretty simple to do on my own. I am really enjoying this Chromecast.
1764	Caro	5	Great item	"love streaming my tv shows anytime
It’s worth what I paid."
1765	Yesman	5	Just as I thought	A must have. Works great and more. No interruptions from texts as stated.
1766	electricdude	5	great cast device	any easy way to set up a casing device from your computer to your TV. works well to display for example youtube on a large TV
1767	Dude247	4	It works	Hard to set up, but after you get it going, it works well. Wish there was a way to make sure you're getting Dolby Digital.
1768	ladycromberi	5	Awesome product	I am having a lot of fun using my comcast. Highly recoment.
1769	Scadam	5	Great addition to your tv	I recommend this if you want to do more with your tv. Great addition to view more than just tv
1770	AnEs	5	Works great	This works great and was less expensive than the Microsoft version.
1771	Kate	5	Easy to use, no more cable bill.	We have one of these on every TV and very easy to use. Also very inexpensive compared to what cable costs.
1772	evanino	5	This is cool!	I had a first the first version, this one is faster and more options.
1773	dushyant8858	5	Works perfect	The product is as per the description. Fast delivery.
1774	Donnie	5	Works great, easy to use	Easy to use... works great.. simple setup, just plug and play
1775	Caskett	5	New design, same service.	Chromecast has pretty much been a required device for every TV in your home since its initial release, and despite Amazon's insistance to prevent users from buying one and using their service with the Google Dongle, it is still the best streaming device on the market, especially at its price point.
1776	daBeagle	5	Great addition to Google home.	I bought a Google home over Christmas and I wanted to control my Tv's so I bought 2 of these. I can now ask Google home to turn on and off my TV. I also use Netflix and YouTube with it.
1777	dht1986	5	Great way to integrate tech into the living room	The Chromecast is extremely easy to set up, and works great with Android devices. Being able to cast your phone, internet, movies, YouTube, etc gives a whole new view onto tech in your life. Super easy to enjoy media content through the Google play store
1778	mercedhawk	2	Seems to create problems	We purchased the Chromecast because it is the only way to get YouTubeTV. Unfortunately, after getting set up and using it for a few hours it just stopped. Customer service went through all their protocols and finally scratched their head and said they didn't know what was wrong. Then I see an post from that says this product has a bug that causes it to mess up your wifi. Don't know when or how it will be fixed. In the meantime, find another product and use another service.
1779	Rob171979	5	great for watching movies	this was the best thing ever for watching movies an videos
1780	griffithgs	4	Good for streaming	I feel that I would use it alot more if you didn't have to keep changing the input source
1781	i009781	4	It does the job, performs well	The chromecast installs easily in an HDMI port, and works as advertised. No issues to date.
1782	Kristi	5	I love it.	Easy setup and no issues it just does it's job. I love it have a few for my house. My new tv has a 4K version preloaded. Got this one for my mother in law as a gift.
1783	VhElectronics	5	Excellent product	My first time to use this type and I feel very happy to use for its convenience. I now can use my note5 phone to control without looking for remote. Transfer speed and quality picture are good, no lagging. So far, very happy.
1784	Melvino	4	Good one	Good way to watch tv online pretty good electronic
1785	Donna	5	Must have	Must have for all living rooms. Helps stream videos
1786	King	4	Works great	I like this but wish that it had it's own menus and a remote
1787	Zebralady	5	Works well with Google Mini	Easy set up, nice addition to the google mini. Love being able to ask my mini to play a specific song on YouTube but on my living room TV
1788	Hometheaterbob	5	Works flawlessly	The product works flawlessly and will stream everything but Amazon. It can’t do Amazon because Amazon won’t allow it since Google is their competitor.
1789	Annie	4	Hardware & Media Products	"Hardware - plugged in and played right away. Control through cell phone was another matter. Took some effort and memory to load up cell phone. Control this way is not smooth.

Media Products - there are a LOT of useless movies, what a waste of time, talent, and resources and for what? In other words typical celebrity mindlessness, shallowness, and ego. Netflics and others do offer a few good movies, but app downloads for EACH provider into EACH controlling cell phone is necessary - ugh. Hard to tell if I would recommend product to others... probably with advice given here."
1790	mnkyby235	5	Easy peezy	Easy set up , simple to use. I highly suggest the chromecast.
1791	MommaZ	5	Delighted	To streamTV and music with a little device which was super easy to setup
1792	Xbri1999	4	Cheap way to stream to TV	Better value than Apple TV, and more flexible. Great value to turn am old TV into a streaming display for Netflix, Hulu etc
1793	Jordan	5	Nice product	I love it. It works very well and as intended. Hooked it up to my Google home mini
1794	Alex	5	Works good	Lags a bit on startup but after everything is loaded up it works great
1795	Alex	5	Great pair with Google home	"I bought this to use with my Google home. Works perfectly. Just say ""Google play -------- on Netflix"" and it plays. Awsome"
1796	InsertNickname	5	Solid all around	Easy to cast videos to my TV like nothing. I have a smart TV, but this works so much better.
1797	sammy	5	Google - Chromecast - Black	I received this as a Christmas gift and so far I really like it. It was easy to install..
1798	trillnye	5	Fast and excellent to use	Works quickly and much faster than gen 1. Highly recommend unless you're big in 4k, then get the ultra.
1799	sIlvana	2	Great idea but doesn’t work well	"I got the cromecast with google home, and so far it’s been a pain to use it. Most of the time, when I’m going to stream something from my phone I have to unplugged and plugged back in, also i have to turn off my phone data ( that’s what the guy a costumer service said when I called ). And most of the time it doesn’t show the opticion to connect to my tv on Netflix or YouTube because it can’t find it, I get tired and end up using my old fire stick. 
Is a great idea but I think they have to make a lot of improvement, I don’t recomend buying this also having no remote is annoying!!"
1800	Pete	3	Works as Advertised	I use this product with my iPhone. You need to have the apps you want to use on the phone to start with. Unlike the Apple TV or real smart TVs there is not selection of apps on the device you just stream from a phone to the cast. You kind of need to know what you want to watch as browsing just to see whats available isn't the same as with an Apple TV where you can just scroll through apps and whats recommended or being pushed by the app. Also the Google Home is great for pausing but playing and casting from the Home to the cast is hit or miss. Picture quality is good, its not 4k obviously but neither is my TV so not really the cast's fault.
1801	Bonco0912	5	Made an old Samsung Smart.	This works perfect on an old Samsung. Kids love it! Made the 8 yr old TV a smart TV for under $50!
1802	BeaBea	5	I love it	"This is one of my favorite items in my house it's easy to use n so convenient! 

Click,Stream and enjoy!"
1803	Bran	5	Great and easy	Easy to set up and use! Love it! Can’t wait to get other tvs hooked up
1804	EmlMhc	5	Wonderful	Make watching shows, on a tv that has no Blueray or DVD player and is not a smart tv, really way with our phones.
1805	CHINNA	5	EXCELLENT	"IT IS GOOD AWESOME EXCELLENT . I LIKED IT 

THANK U"
1806	punchNPie	5	Easy way to share a screen	Simple and works. Can watch videos easily from my phone to my TV. Works better than the built in TV apps for my smart TV.
1807	Mikel	5	Works Great	"Purchased this on Black Friday weekend along with a Google Home for my college dorm. After linking both to my account on the Google Home app, I can use the Google Home to play videos, music, etc on the projector. Definitely worth it! I like that I don't have to be on the same wifi network as the device to control it from the google assistant.

Disclaimer for college students: Make sure these are supported on your campus if getting one for your dorm! My IT department doesn't support them and I had to find a roundabout way to get it working myself."
1808	Crunch6	5	My baby	I don't I have cable I have wifi and with Chromecast I can watch anything I want at anytime
1809	Dishinitout	5	Love Chromecast	"Works great and super easy to set up. Very portable.
Whats not to like ?"
1810	Loring	5	new functionality for my TV watching	"I like these chromecasts, they allow me to send a lot of content from my PCs to my TVs. I only recently discovered these, and how they work although I'd heard of them.
If you have a very recent TV, it may already have an alternate casting technology - I also discovered that when I was getting ready to add it to my new 4K TV... I found the new TV already on the list of castable TVs. So check your TVs before you buy!"
1811	Tyler	5	Easy and reliable	Chromecast is easy to setup, easy to use and very reliable!
1812	TonyTJ	4	GREAT OPTION TO STREAM THINGS TO TV	ITS A GREAT PRODUCT BUT IN TIMES IS SOME SLOW TO STREAM THINGS, MAYBE IS MY INTERNET CONNECTION OR THE INSANE HEAT OF THE PRODUCT
1813	davegar	5	Good performance for low price	Had a previous generation Chromecast that would occasionally freeze up when casting Spotify or Netflix. This one has worked much better and can take advantage of 5GHz wifi.
1814	DonS	5	Worked as expected.	easily plugged into my TV and connected easliy to the google home.
1815	Joekam12	5	Quick fix	This is great it makes streaming on my bedroom tv so easy. As an added bonus it works with my Google home
1816	Sungsam	4	Great	I love it. I am able to use my Google Home Mini to control it, which makes things easier.
1817	rooster52	3	checking it out	I got a google home mini for Christmas and read how it could control my TV and connect to my Netflix account. I product does work with he the TV...but because the TV is an older model 2012...it does not control a lot of the TV functions (which appears to be the TV manufactures fault of not supporting a standard CEC operations. only weird thing to me is all functions are controlled by a phone or tablet...not bad just different
1818	DDubya	4	Works well	Nice to have when traveling outside of home. Worth the $$.
1819	Timmy	4	Much Better Than 1st Gen	We also own a 1st Generation Chromecast and decided to try this one when the original had issues staying connected to our home network. Setup was very easy and we have had no issues with connectivity or lagging. Works great with PCs, tablets and phones.
1820	chewy	4	Great sale	I got these chrome cast for $20 each. It is good for the people I bought them for who don't have smart tv's and really don't watch a lot of tv anyways.
1821	Tomhy	5	Great device but limited	You can only cast programs to the device. Works well but always need another device to cast from.
1822	Guzman	5	Best $35 investments: invisible and always there	Attached to the back of my TV set on a HDMI port, it is invisible. Moreover, since there is no remote to control it, it is always ready to be used. We were first given the Chromecast as a gift. Since then we have bought a second one for a second TV set, and given several of them as gifts to family members.
1823	Al12345	5	Good product!	Just got perfectly for what I need. And the connect is great.
1824	Sujatha	4	Good One	Got it on thanks giving offer...User friendly. Good one
1825	Chri55y	5	Great	Works great with my google home , love I can watch all my stuff in one place
1826	worm	5	Great product	The new design makes it less likely to break. The only draw back is the few times it wouldn't connect, but that seldom happens.
1827	Sunshine	5	Great Product.	Easy installation. Clear streaming. Very satisfied with device.
1828	Brynn	4	Works great	Easy to use and convenient. No need to upgrade bedroom tv.
1829	Nascargtp	4	Works as described	Gave as a gift and have not heard any complaints. Seems to work as described.
1830	nursedonnarn	5	Google Chromecast	Bought for my son - it was his FAVORITE Christmas gift along with the Google Home!
1831	333brett	5	"Very simple ""plug and watch"" capability"	Very easy to install and get started watching shows from computer or smartphone.
1832	Samy	5	Better than the last version	We bought this because our last Chromecast got squished and broke. This is way better than the last version of Chromecast and updates itself!
1833	JosephJr	5	Great for streaming	I stream everything. I've used chromecast for several years now and I have no complaints. It's dependable and fast I recommend it.
1834	fredodz	5	Great Streaming Device	Chromecast works with any device.Easy to send videos and pictures to your tv
1835	HardCharger	5	Bought 2nd for home	Love the item so much had to buy a second to use....
1836	LinnG	4	Love it!	"I love having a Chromecast on the TV - I love being able to ask for Netflix or Youtube with just my voice and start to watch something I requested. I liked it so much, I bought another one for my bedroom TV.
The only reason I didn't give it 5 stars is because the picture is not as clear as when I go through my Apple TV - I hope they fix this in the future. Overall I'm very pleased."
1837	Jk944	5	Great for casting from smart phone to Tv	We use chromecast on both our TVs very easy to use and setup great for casting shows and music to tv
1838	AAAA	5	Good quality for the price	I liked this product because it makes it easier to watch shows and programs from my phone onto my tv!
1839	ashmamula	5	Yes Yes Yes	Bought this on black friday for our living room tv. GREAT alternative to cable as you can stream literally anything from your phone.
1840	NiceStuff	5	Real easy to use	Very simple product to use. If you don’t have a smart TV it’s a cheap upgrade that works well
1841	Peter	5	Very nice product	Easy to use, very fast and stylish..cheap enough so that anybody can have a good time
1842	Chris	5	Great	This was a gift and they love it. Would recommend this product
1843	Mitch	5	Great item for screencasting	This is an amazing cheap, small, easy device to make any TV smart
1844	Cbman	5	Good product	Very simple to install and it works great. Awesome
1845	Tobias	5	Great for casting	Easy to use cast anything from your mobile or chrome web browser
1846	Marc	5	Streaming	Great streaming product. Use it a lot for beach body on demand at home and away
1847	imthdj2u	5	works great	definitely must have especially if your tv isn't a smart tv
1848	Kmats23	5	Easy to use and easy set up	Very easy set up and very easy to use. Screen mirroring from your cell or your tablet! Awesome product!
1849	LeetLeet	5	Great substitute for a smart tv	I love my google chromecast. I use it in conjunction with my Samsung tablet and can stream almost anything. I often use the google home app to mirror-cast my tablet screen to the tv, and stream from there. Or, if what I want to watch is available in a chromecast compatible app (which almost every streaming app is), I just cast directly from the app. I’ve purchased multiple chromecasts. I think it’s safe to say I have a slight affinity for it lol.
1850	XRay	5	Does What it needs to	Streams your phone's media or computer screen to your TV
1851	scanchecker	5	Google - Chromecast - Black	"Google - Chromecast - Black
This statement by Google about the Google - Chromecast is true: ""Stream music in every room of the house with Google Chromecast. Access over 100 apps to listen to your favorites anytime. Plus, you can use your smartphone as a remote to play, pause, or adjust the volume. And texts or calls won't interrupt the music."""
1852	Culligan	5	Fantastic	"Excellent technology-
Works great with YouTube TV
Cancel Dish and subscribe to YouTubeTv only 35 per month"
1853	Cindyk	5	Great device to broadcast from phone to tv	We bought this just to see if we liked streaming shows and broadcasting photos and videos from other devices to our tv. We love it. It’s easy to use also. I would recommend it.
1854	Manny186	5	Great add on to any tv	Great add-on to any TV lots of options. Works great with Google home Google home Mini
1855	LIFE408	5	Perfect!	Was a perfect grit for a family member they loved it, and the employees really helped out, thanks best buy.
1856	Sam19	5	Very handy	Love all the compatible apps small and low profile
1857	RYANB1	5	Works Well	Nice unit we like it.. in some aspects nicer to stream phone content than roku, does require usb power source though (which many tv's have anyway)
1858	Lizm	5	Cool device	Love my new google chromecast. I’m able to watch everything on the go
1859	Nick	5	Goggle Chromecast work	This product is very good, it really does the job that was designed for.
1860	Sunny143	5	Chromecast 2	I purchased this item on sale so we can watch what is on tablet or phone on television. I did a lot of research before hand to understand the ease of use and set up. Very happy with it and it works well.
1861	Nic209	5	Love the Speed when conecting!!!	"Just upgraded to this new chromecast , I have 2 2nd G and now this one 3G , I like how conects and cast videos , some apps contens to my TV ! 
Totally recommend this divice !"
1862	Serg	4	Works great.	Make sure you have a good router and a good connection to the internet to stream media. You have to buy the app in the on Apple devices. And Apple TV works better with Apple devices.
1863	BLee	5	Simple and reliable	The Chromecast works very well with Note 8, never had a single issue with it.
1864	Businessmanupnorth	5	Great value	The Chromecast is a great value. Simple addition to have access to watch media from Hulu, Netflix, etc on your TV!
1865	daniel11b	5	great review	great product if you want to cast your ahows or movies on the big screen aka your big tv
1866	Maxi11	5	Loveeee it!	I have tried amazon fire stick and for sure i stay with chromecast, its easier to use, and u can mirror all u want, computer, ipad, iphone, any cellphone
1867	vsp900	5	Love my Chromecast	This is an awesome little device. It took me a while to figure out I had to be on the same wifi network as the master device, but once I realized that, this thing works perfectly.
1868	Sakruvala	5	Excellent product	This is an amazing product. It is so efficient, easy to handle and can be carried anywhere and everywhere.
1869	Sabino415promemer	5	Amazing	I bought this after my first chromecast broke & its been way better! Videos load faster it boots up quicker overall superior product. Highly recommend to a non smart tv or even a smart tv
1870	Mike	5	Must have if you have a Google Home	Received a Google Home Mini for Christmas and picked up Chromecast to remotely turn on TV or music in the living room for my daughter from the kitchen hands free. Works great, extremely convenient.
1871	Amber	5	Love Chrome Cast	I love my Chromecast, my whole family uses Chromecast for all of our casting needs
1872	Chromecast	5	Great Product	I love being able to stream netflix, youtube, etc.
1873	Gadgets	5	Chromecast & YouTube Tv	"Purchased Chromecast for, streaming to HD tv. Works very well.
Cut your cable bills. YouTube tv, for local, and many other cable tv channels. I’m sure as YouTube Tv grows so will the number of, streaming channels."
1874	ILikeBigMutts	5	Awesome	Love chromecast. We use it everyday. Easy set up and portable.
1875	Speedy	5	Easy to use	This product is simple to use. Once setup, find what you want to watch on a phone, table, or computer hit 1 button to watch on a tv and enjoy.
1876	Jon1	5	Great	Very easy to use and hasn't failed me yet! More than a year later and still working fine
1877	Kell	5	Great product	Very easy to set up to your tv and simple to use great for streaming movies
1878	Randy	5	Good Product	Purchased this during Black Friday sale. Streams from phone, tablet or computer seamlessly. Very happy with purchase.
1879	drey	1	Won't stay connected	I bought the Chromecast when it was first introduced. When it started having connectivity issues, I decided to purchase a new one - hoping that it newer equals more reliable. It's horrid. I have to shut down my entire wifi network and restart it for the Chromecast to find it and connect. Then I'll finally connect it to the app and get through a show. Next time I want to watch a show though, nothing shows up on my devices list. I have to go through the entire rigmarole again. Not worth the hassle.
1880	Snakes89	5	Great product low price	I have had zero issues and use this daily and for under $40 can't beat that, the picture and sound are excellent.
1881	TechMan	4	Love it	I take it whenever I travel. A great way to always have a smart TV with you.
1882	Dennis	4	Easy to cast to TV	Really enjoy using my Chromecast on my phone or tablet.
1883	Lokeshcivic	5	Excellent device	This chromecast is an excellent device to stream all the favorite content
1884	Lisa	3	Not sure what it does	I have only used chromcast to mirror my phone. Doesn't seem like it does much else.
1885	Darryle	1	Do not buy	This is one of the most worst products I have ever bought just getca firecstick
1886	Lilhippy88	5	Easy to use	Very easy to use. Makes putting media on the tv a brease, be it movie, music, videos whatever.
1887	benpkpk	5	work right away	i set it up within 5 mins It works right away with great video, and sound. I used it to watch youtube on my non-smart tv, love it.
1888	rhugh052	5	Great watching videos from my i pad	I like how this syncs with my i pad. I like to watch videos on the big screen. I like how it is easy to use, and set up.
1889	John9988	5	Love it!!	I love chromecast. It isn't expensive and does the job of apple tv.
1890	Benets	5	Impressed	Very easy to set up - took a few minutes and we were hooked up to Google Hone
1891	Lompi	5	This device is great and the way of watch TV	I have had Chromecast since it just was launched. It allows you to watch any youtube video in your TV and with today's internet speeds you can even watch live TV if you subscribe to Youtube TV, DirectTVnow or HBOnow. This will give you the freedom of not needing the Cable providers with those long term contracts. So it's a great option when having multiple TVs in the house so you do not need a cable box for each of them, you just need a Chromecast and get ready to Cast content.
1892	AimT	5	Useful	This is actually our 2nd one. The 1st one stays in the “man cave” but we bought this one to go with our new Google Home.
1893	Jaay	5	Everyone needs this	Chrome cast option so just come in All TVs but until then, good to have!
1894	Lisa	5	Chromecast	I have been tierd of cable tv for some time now. This Chromecast is exactly what I was looking for. I'm saving $140 a month now.
1895	Smiley	5	Awesome Chromcast	I love it, I literally use it everyday. I couldn’t imagine my ev without it.
1896	Bonnie514	5	Who wouldn’t like a chromecast	Perfect way to view everything on the tv. Easy to hookup, any problems.....Search YouTube for a video using your model of TV.
1897	Alll	4	Great	Great product easy to install I do recommend to other customers
1898	Anijo	5	Great product at great price	Got in black friday at great price. Works great, no issue so far
1899	adekunle12	5	Excellent	Been using it for some years now and it’s still working well
1900	BIBMazur	4	Good	Didn’t find much difference between this new chromecast and the old one. But it’s always a good gadget.
1901	Joeh	5	Great for cutting the cord	I love my Google Chrome cast. I had recently decided to stop paying the outrageous fees for satellite tv but needed ESPN for the New Year's Day bowl games. Chromecast and YouTube TV to the rescue!
1902	AC1750DualBand	5	better than previous	"my original chromecast would not work if it was not in front of the tv.
this one works even hanging in back."
1903	erika	5	Love it	I’m always watching Netflix on my tv. I even bought one for every tv I have.
1904	Music	5	Makes TV selections easier	Did not think I needed this but with the voice feature it makes watching Netflix effortless! Just ask and you receive! Very easy to use and setup.
1905	alitz	5	Great!!	I Was able to see my lectures on my TV BY CHROMECAST
1906	Monica	5	Good	It is really good. It came free so cant complain right.
1907	alexc97	5	Easy to use.	The Chromecast is super simple to install and hook up. And it makes it easy to share photos and other thing when friends are over and much more
1908	Laurie	5	Useful	This is my 3rd chromecast. I find it very usefull paired with Apple products. Plus price is very reasonable compared to Apple TV.
1909	Mike	5	Good one	"Great !!!
Got it for very good deal. Nice. Worth the price"
1910	bestbuyer	5	Great Smart Device	Absolutely love our Chromecast. Prefer it over our fire stick. Easy to use straight from your phone to your TV.
1911	Cass	5	Awesome for casting phone screen to TV	This product was everything I was hoping it would be and more. I can cast what is on my phone screen to have a mirror image on my flat screen. Which means I could watch YouTube videos, movies, or even show pictures from my phone straight to my tv so showing people is a lot easier. The best part is there is no cord it is completely wireless.
1912	AznEngr520	3	Bought this one because 1st one died 13 months	This Chromecast is much better and faster than the first gen Chromecast. Has dual band wireless 2.4/5 GHz chip. Does everything you expect from a Chromecast and does it well. The reason for 3 stars is that this is the second 2nd gen Chromecast I have bought because the first one just died 13 months into light use. 1-2 hours a month usage? So it was just burning energy most of the time behind my TV. That is why I was surprised that it died. I switched out power supplies to rule out the power brick and USB cable. So with my experience this 2nd gen Chromecast lasts about a year.
1913	Kris	5	Recommend	Product worked as advertised and was easy to set up. Best Buy purchase was fast & easy.
1914	Lucifer78232	5	Love it!	Quick, fast, and small. I enjoy being able to watch my programs and play games with this device.
1915	Loredo	5	Easy to install	Google Chromecast works great. Easy to use and easy to use.
1916	Bndonrun	5	Great streaming device	Works great. Easy set up. Now I can stream all my services and can skip the cable bill.
1917	Will	4	Great product	The reason I'm giving it 4 stars is because you now have to pay in order to screen cast and for some reason the code won't appear on the bottom left corner like on my other chromecast not sure if the new ones don't have it or if I turned it off some how non the less still use it every day just have issues connecting.
1918	Krock	5	Worth it	I bought this for my 15 year old son. He has really had a blast with it. He can cash this phone to the TV, access our Amazon Prime for music and movies and Netflix. He's really loving it.
1919	KeithC	1	Horrible!	This item is supposed to be easy to use however it isn't. Everytime I try to cast I have issues the app doesn't work well and oftentimes the picture quality becomes quite distorted. Would never buy again.
1920	JennSchell	5	Google Chromecast	This is a great option to get everything in one! Being able to watch Netflix, Hulu, ABC, ETC has been so wonderful.
